appid,voted_up,review
730,0,ㅅㅂ 나는 더2 캐주얼 ㅈㄴ 좋아하는데 이 미친 밸브 놈들이 핵을 ㅈㄴ 안잡음 그냥 시작하지도마셈
730,1,진짜 잼민이 시절 하던 겜인데 이렇게 그래픽이 좋아졌네요 꿀잼입니다 칼총 스킨 가격은 사악하지만 존잼 ㅎㅎ
730,0,작업장 차린 새끼들이 자꾸 밴쳐서 정상적인 게임을 못함 ㅋㅋㅋ
730,1,초등학교 2학년때부터 처음 피씨방에서 씨디 받아서 시작해서 서른넘은 아저씨가 돼서도 하는 게임
730,1,이 게임은 함꼐 플레이하는 플레이어들이 가족을 챙겨줍니다
730,1,쌈@뽕 깔@롱한 게임 근데 쒸1@23빨 쉑123희들아 핵좀 잡아라 개색희들아
730,0,프라임 사지마셈 아니면 한국서버 차단해라 작업장 개 많아
730,1,this fucking game made me destroy a 4k pc i love it
730,1,"[h1]데미지 등록[/h1] [h3]커뮤니티 서버나 Valve 서버에서는 데미지가 전혀 등록되지 않는 경우도 있으므로, 데미지 등록이 잘 되면 이 게임은 더 좋아졌을지도 모른다.[/h3]  [h1]그래픽 파라미터에 불필요한 함수[/h1] [h3]더 추가하면 그래픽의 기술적 부분을 더욱 즐겁게 할 수 있습니다. 파라미터에 의미를 가지지 않는 불필요한 기능은 거의 없기 때문에.[/h3]  [h1]데미지 예측[/h1] [h3]또, 데미지 예측에 대해, 어떻게 기능하고 있는지, 의미가 있는지, 게임 서버에 대한 클라이언트의 피탄의 불안정성에 관계하고 있을 가능성은 있는지 등도 알고 싶습니다.[/h3]"
730,1,"핵 좀 잡아라 어떻게 매 판마다 ""핵 좀 안 만나게 해주세요"" 를 빌면서 게임하게 만드냐"
730,1,cs.1.6부터 좋아했던 게임   Legend .    아 근데 cs2 는..좀..
730,1,"네, 우리는 중국과 가까워요. 네, 우리는 러시아와 가까워요. 네, 그러니까 다같이 힘내요."
730,0,full of cheaters vac never work
730,0,전엔 븅딱 같았는데 2넘어오면서 더 이제는 죶븅신겜도미
730,1,"게임 자체는 재밌음   근데 게임 돌리면 2판에 한번씩 무조건 핵 만남 ㅅㅂ"
730,1,지인이랑 윙맨 할때 쇼이구와 게라시모프가 우릴 즐겁게 해줍니다.
730,0,BULLLLLLLLLLLLLLLLLLLSHITTTTTTTTTTTTTTT
730,1,사설서버에 있는 안티치트도 못만드는 돈만 밝히는 무능한 회사 핵 잡는 날이 오기는 할까
730,0,짱깨들이 트롤하고 팀킬하는게 일상이니 마음이 넓은 사람만 하기를
730,0,내가 핵쟁이랑 총싸움을 하는거냐 테러리스트랑 총싸움을 하는거냐?
730,0,뭔 이 개같은 게임은 왜 경험치 오버로드 왜 만든거야 프리미어도 못하고 계속 짱개련들이 캐주얼에서 핵쓰고 앉아있는데 이게 뭔 차라리 핵쟁이들이나 잡아주세요 제발 오버로드같은거 만들어서  경험치 70따리 같은거 해주지마시고요 제발
730,0,I don't prefer this game. Just feel like a shooting in chicken cage. all weapon are not specialized like a toy gun fire.  sorry.
730,1,There is no game that can replace this game.
